State,Alleged_Sexual_Harassment,Alleged_Racial_Harassment,Alleged_Disability_Harassment,Alleged_Orientation_Harassment,Alleged_Religion_Harassment
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,1,1,0,1,0
Alabama,0,2,0,0,0
Alabama,0,0,0,0,0
Alabama,0,1,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,2,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,1,0,0,0
Alabama,3,0,1,1,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,1,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,1,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,1
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,1,1,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,1,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,1,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,2,0,0,0
Alabama,2,3,0,0,0
Alabama,4,7,0,2,1
Alabama,0,0,0,0,0
Alabama,7,0,0,0,0
Alabama,2,1,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,1,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,1,0,0,1,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,1,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,2,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,15,5,1,0
Alabama,2,0,0,2,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,1
Alabama,0,1,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,1,0,0,0
Alabama,0,0,0,0,0
Alabama,2,3,0,0,0
Alabama,7,1,0,1,0
Alabama,5,1,1,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,5,7,0,0,0
Alabama,2,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,5,0,0,0
Alabama,1,0,0,0,0
Alabama,0,0,0,0,1
Alabama,2,5,0,0,0
Alabama,7,1,0,1,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,8,2,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,4,1
Alabama,0,0,0,0,0
Alabama,8,0,0,1,0
Alabama,0,0,0,0,0
Alabama,6,3,1,4,1
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
