State,2015,2013
,,
Alabama,1357,1704
Alaska,59,154
Arizona,2780,2786
Arkansas,1227,1570
California,17620,11144
Colorado,1090,1057
Connecticut,1011,961
Delaware,253,138
District of Columbia,116,0
Florida,150,82
Georgia,1538,1454
Hawaii,825,11
Idaho,1169,690
Illinois,19640,6136
Indiana,2259,1832
Iowa,1284,1139
Kansas,2041,1415
Kentucky,886,1516
Louisiana,447,377
Maine,571,566
Maryland,502,512
Massachusetts,1829,2745
Michigan,5068,5990
Minnesota,5885,3797
Mississippi,732,664
Missouri,3400,11620
Montana,958,763
Nebraska,1223,1177
Nevada,1241,597
New Hampshire,672,660
New Jersey,5599,5563
New Mexico,1523,966
New York,10621,7245
North Carolina,2294,848
North Dakota,227,315
Ohio,2752,2330
Oklahoma,1294,1511
Oregon,2555,2590
Pennsylvania,4373,3919
Rhode Island,2009,270
South Carolina,964,1347
South Dakota,264,276
Tennessee,5711,2253
Texas,3916,3601
Utah,2115,1872
Vermont,1110,791
Virginia,1586,841
Washington,3043,4134
West Virginia,1110,1497
Wisconsin,3007,2308
Wyoming,262,1315
,134168,109049
