State,Alleged_Sexual_Harassment,Alleged_Racial_Harassment,Alleged_Disability_Harassment,Alleged_Orientation_Harassment,Alleged_Religion_Harassment
Alabama,10,0,0,0,0
Alabama,0,0,0,0,0
Alabama,7,2,0,0,0
Alabama,0,0,0,0,0
Alabama,8,3,0,0,0
Alabama,0,0,1,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,2,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,1,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,1,0,0,0,0
Alabama,0,0,0,0,0
Alabama,2,0,0,0,0
Alabama,3,0,0,0,0
Alabama,0,0,0,0,0
Alabama,3,0,0,0,0
Alabama,0,0,0,0,0
Alabama,2,0,0,0,0
Alabama,0,3,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,4,0,0,0,0
Alabama,0,2,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,1,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,2,5,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,1,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,2,16,2,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,2,1,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,10,12,5,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,184,19,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,3,0,0,0,0
Alabama,3,9,0,0,0
Alabama,2,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,8,0,1,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,1,3,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,3,23,0,0,0
Alabama,2,0,1,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,6,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,6,12,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,1,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,1,4,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,2,0,0,0,0
Alabama,1,1,3,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,2,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,35,0,9,0,0
Alabama,10,12,0,0,0
Alabama,1,0,0,0,0
Alabama,2,2,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,7,0,2,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,3,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,4,0,0,0
Alabama,2,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,3,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
Alabama,0,0,0,0,0
