State,Name,Population,White,Black,American Indian,Asian,Pacific Islands,Two or More,Hispanic,Poverty Rate,Per Capita Income
01,Alabama,4747424.0,3307557.0,1244112.0,26399.0,52668.0,1256.0,65673.0,173990.0,17.133186334315198,23483.0
02,Alaska,700703.0,472504.0,23426.0,97628.0,35912.0,6848.0,55404.0,39212.0,9.29223936532311,31944.0
04,Arizona,6337373.0,4987541.0,252127.0,280986.0,172290.0,11933.0,172310.0,1864375.0,15.835820299673067,25784.0
05,Arkansas,2895928.0,2271277.0,449283.0,17239.0,34815.0,5031.0,54283.0,177869.0,17.846507233605255,21833.0
06,California,36969200.0,22860341.0,2252129.0,287712.0,4825271.0,141382.0,1459887.0,13752743.0,14.096818432641225,29634.0
08,Colorado,4966061.0,4167044.0,195640.0,48201.0,134228.0,5798.0,159786.0,1011545.0,12.237606424890874,30816.0
09,Connecticut,3558172.0,2796198.0,347941.0,8104.0,134108.0,1327.0,82104.0,463407.0,9.183676337175381,37627.0
10,Delaware,890856.0,630804.0,188519.0,3109.0,28726.0,442.0,19435.0,70196.0,10.866514902520722,29659.0
11,District of Columbia,593955.0,231122.0,308516.0,1779.0,20773.0,311.0,11359.0,53372.0,17.14490154978071,43993.0
12,Florida,18688787.0,14270053.0,2946899.0,58192.0,455403.0,11005.0,382884.0,4122759.0,14.336939042646266,26733.0
13,Georgia,9600612.0,5849795.0,2922448.0,23979.0,308677.0,4653.0,160652.0,824037.0,16.055872271476026,25383.0
15,Hawaii,1346554.0,335908.0,21628.0,3198.0,524274.0,129157.0,316096.0,119059.0,9.9800676393223,29203.0
16,Idaho,1549987.0,1431372.0,8823.0,19584.0,18714.0,2425.0,37948.0,168949.0,13.982955986082464,22788.0
17,Illinois,12790182.0,9214977.0,1859608.0,25216.0,583302.0,3185.0,234125.0,1987211.0,12.825681448473524,29376.0
18,Indiana,6454254.0,5482893.0,576304.0,14772.0,99194.0,1233.0,131771.0,377169.0,13.71421081351927,24497.0
19,Iowa,3032266.0,2782349.0,85714.0,9958.0,52881.0,1112.0,52876.0,144158.0,11.46126362265052,26110.0
20,Kansas,2830985.0,2412703.0,163063.0,23860.0,67532.0,1734.0,85765.0,287599.0,12.263717398714581,26545.0
21,Kentucky,4316040.0,3808381.0,336628.0,8913.0,47754.0,2403.0,69194.0,124593.0,17.537997794274382,23033.0
22,Louisiana,4484596.0,2838981.0,1429820.0,28154.0,69355.0,1719.0,65516.0,183706.0,17.854562596051014,23853.0
23,Maine,1328543.0,1268113.0,13979.0,7124.0,13745.0,310.0,21651.0,17307.0,12.430610074344601,26195.0
24,Maryland,5736545.0,3397326.0,1683842.0,16603.0,312883.0,2708.0,139300.0,451861.0,8.761545494718511,35751.0
25,Massachusetts,6512227.0,5294754.0,431907.0,12238.0,345422.0,1711.0,155263.0,606922.0,10.341577466510305,35051.0
26,Michigan,9920621.0,7869573.0,1395245.0,54638.0,244623.0,2690.0,223540.0,432043.0,15.306078117488815,25482.0
27,Minnesota,5278190.0,4556910.0,264751.0,57271.0,208315.0,2129.0,116735.0,242956.0,10.70734475265195,30310.0
28,Mississippi,2956700.0,1767875.0,1094596.0,13775.0,25807.0,579.0,31426.0,75626.0,20.895085737477594,20521.0
29,Missouri,5955802.0,4957147.0,686044.0,22509.0,93632.0,5725.0,130116.0,206777.0,13.912735849848602,25371.0
30,Montana,982854.0,881905.0,4403.0,61399.0,5999.0,664.0,22936.0,28368.0,14.234464121832948,24640.0
31,Nebraska,1813061.0,1600661.0,79828.0,15858.0,30637.0,1263.0,39937.0,159550.0,11.679254035026952,26113.0
32,Nevada,2673396.0,1960913.0,214360.0,29344.0,190079.0,16391.0,96094.0,698713.0,12.751683626368859,27625.0
33,New Hampshire,1315911.0,1241530.0,14520.0,2688.0,27702.0,296.0,19392.0,36452.0,7.723470660249819,32357.0
34,New Jersey,8753064.0,6095247.0,1180649.0,20490.0,714890.0,2112.0,192130.0,1512251.0,9.198721727614467,35678.0
35,New Mexico,2037136.0,1467191.0,41082.0,188613.0,27214.0,1157.0,61687.0,934301.0,18.570237824082437,23537.0
36,New York,19302448.0,12768805.0,3013740.0,67766.0,1415147.0,6706.0,441667.0,3356747.0,14.102392608440132,31796.0
37,North Carolina,9418736.0,6560948.0,2016228.0,108960.0,202815.0,4725.0,188390.0,764707.0,15.644944289764572,25256.0
38,North Dakota,666783.0,602373.0,7231.0,35544.0,6693.0,348.0,10965.0,13210.0,11.831135466861033,27305.0
39,Ohio,11525536.0,9592249.0,1395378.0,21194.0,190485.0,2162.0,229242.0,345370.0,14.352417102336933,25618.0
40,Oklahoma,3714520.0,2743563.0,270192.0,258295.0,63471.0,4257.0,277969.0,318007.0,15.777166363352466,23770.0
41,Oregon,3801991.0,3245856.0,68155.0,57114.0,139258.0,13447.0,135010.0,436806.0,14.475889080221389,26561.0
42,Pennsylvania,12660739.0,10473096.0,1358759.0,18065.0,341880.0,2785.0,215515.0,690128.0,12.233638178624487,27824.0
44,Rhode Island,1053959.0,863294.0,62682.0,4606.0,31476.0,459.0,25028.0,127816.0,12.282640975597722,29685.0
45,South Carolina,4575864.0,3075318.0,1281627.0,14939.0,56575.0,1920.0,72080.0,222550.0,16.47131558105748,23854.0
46,South Dakota,807697.0,697042.0,9347.0,69154.0,7672.0,197.0,17451.0,21539.0,13.289265652837637,24925.0
47,Tennessee,6297991.0,4949985.0,1048714.0,15285.0,90471.0,3097.0,101088.0,277011.0,16.45284980559674,24197.0
48,Texas,24774187.0,18093212.0,2917108.0,125101.0,939558.0,19966.0,524082.0,9216240.0,16.630620411479093,25548.0
49,Utah,2715379.0,2426175.0,29056.0,30842.0,54866.0,25137.0,60337.0,344014.0,11.200093983197188,23650.0
50,Vermont,624958.0,596736.0,5464.0,1802.0,7544.0,155.0,11141.0,9451.0,10.842488615234943,28376.0
51,Virginia,7926192.0,5526985.0,1545568.0,25665.0,430227.0,5295.0,198171.0,604882.0,10.325538417439295,33040.0
53,Washington,6652845.0,5256224.0,233549.0,94243.0,470798.0,37084.0,292915.0,725373.0,12.27308016344887,30481.0
54,West Virginia,1846372.0,1736461.0,58296.0,3052.0,11809.0,456.0,32083.0,22007.0,16.971823662837174,22010.0
55,Wisconsin,5664893.0,4941085.0,352620.0,48741.0,125630.0,1503.0,101366.0,324238.0,11.679920521005428,27192.0
56,Wyoming,554697.0,506661.0,4309.0,12752.0,3985.0,204.0,14879.0,46391.0,9.897295280125906,28952.0
72,Puerto Rico,3742586.0,2695914.0,274200.0,7554.0,11701.0,77.0,376281.0,3697954.0,44.783339648040155,10658.0
