State,Name,Population,Per Capita Income
01,Alabama,4799277.0,23680.0
02,Alaska,720316.0,32651.0
04,Arizona,6479703.0,25358.0
05,Arkansas,2933369.0,22170.0
06,California,37659181.0,29527.0
08,Colorado,5119329.0,31109.0
09,Connecticut,3583561.0,37892.0
10,Delaware,908446.0,29819.0
11,District of Columbia,619371.0,45290.0
12,Florida,19091156.0,26236.0
13,Georgia,9810417.0,25182.0
15,Hawaii,1376298.0,29305.0
16,Idaho,1583364.0,22568.0
17,Illinois,12848554.0,29666.0
18,Indiana,6514861.0,24635.0
19,Iowa,3062553.0,27027.0
20,Kansas,2868107.0,26929.0
21,Kentucky,4361333.0,23462.0
22,Louisiana,4567968.0,24442.0
23,Maine,1328320.0,26824.0
24,Maryland,5834299.0,36354.0
25,Massachusetts,6605058.0,35763.0
26,Michigan,9886095.0,25681.0
27,Minnesota,5347740.0,30913.0
28,Mississippi,2976872.0,20618.0
29,Missouri,6007182.0,25649.0
30,Montana,998554.0,25373.0
31,Nebraska,1841625.0,26899.0
32,Nevada,2730066.0,26589.0
33,New Hampshire,1319171.0,33134.0
34,New Jersey,8832406.0,36027.0
35,New Mexico,2069706.0,23763.0
36,New York,19487053.0,32382.0
37,North Carolina,9651380.0,25284.0
38,North Dakota,689781.0,29732.0
39,Ohio,11549590.0,26046.0
40,Oklahoma,3785742.0,24208.0
41,Oregon,3868721.0,26809.0
42,Pennsylvania,12731381.0,28502.0
44,Rhode Island,1051695.0,30469.0
45,South Carolina,4679602.0,23943.0
46,South Dakota,825198.0,25740.0
47,Tennessee,6402387.0,24409.0
48,Texas,25639373.0,26019.0
49,Utah,2813673.0,23873.0
50,Vermont,625904.0,29167.0
51,Virginia,8100653.0,33493.0
53,Washington,6819579.0,30742.0
54,West Virginia,1853619.0,22966.0
55,Wisconsin,5706871.0,27523.0
56,Wyoming,570134.0,28902.0
72,Puerto Rico,3682966.0,11068.0
