Name,Total Population,White,Black,American Indian,Asian,Pacific Islands,Two or More,Hispanic,Poverty Rate,Per Capita Income
Alabama,4963034.0,3325464.0,1276544.0,23850.0,59599.0,2439.0,81646.0,193492.0,18.367414534780213,24091.0
Alaska,771910.0,484250.0,25022.0,101313.0,42921.0,8841.0,61755.0,47808.0,9.948116584284984,33413.0
Arizona,8225749.0,5210335.0,281576.0,294721.0,200090.0,12471.0,211845.0,2014711.0,17.776314347279886,25848.0
Arkansas,3098950.0,2307849.0,459748.0,18409.0,40336.0,6845.0,62537.0,203226.0,18.71551966595993,22798.0
California,48197359.0,23747013.0,2265387.0,287028.0,5261978.0,150370.0,1734897.0,14750686.0,15.968006841176068,30318.0
Colorado,6167118.0,4446095.0,213787.0,50008.0,153467.0,7695.0,183480.0,1112586.0,12.388343342351616,32217.0
Connecticut,3937849.0,2778362.0,370501.0,8908.0,150670.0,981.0,101919.0,526508.0,10.195612739763922,38803.0
Delaware,986165.0,642623.0,200481.0,3140.0,33643.0,306.0,25266.0,80706.0,11.691352188020128,30554.0
District of Columbia,686128.0,260325.0,316447.0,2154.0,23822.0,250.0,17327.0,65803.0,17.045208839137338,47675.0
Florida,23813303.0,14934702.0,3171108.0,54569.0,509085.0,11024.0,472082.0,4660733.0,16.187243748934886,26829.0
Georgia,10642410.0,6025691.0,3096757.0,25887.0,360448.0,4704.0,213803.0,915120.0,17.877504586180468,25737.0
Hawaii,1530686.0,357164.0,28688.0,3012.0,530551.0,138901.0,333119.0,139251.0,10.946747455555327,29822.0
Idaho,1769490.0,1482914.0,9900.0,20504.0,21711.0,1921.0,41226.0,191314.0,15.166710278142238,23399.0
Illinois,14248669.0,9312771.0,1846108.0,28363.0,645642.0,3407.0,289537.0,2122841.0,13.990612378154294,30494.0
Indiana,6837829.0,5529201.0,603014.0,14793.0,121729.0,2285.0,145601.0,421206.0,14.889570071148617,25346.0
Iowa,3221884.0,2820046.0,97788.0,9977.0,62997.0,1882.0,60964.0,168230.0,12.085982144646595,27950.0
Kansas,3153022.0,2464566.0,168402.0,24022.0,75653.0,1796.0,95365.0,323218.0,13.181981115020566,27706.0
Kentucky,4499685.0,3851591.0,347034.0,9063.0,55483.0,2197.0,90836.0,143481.0,18.325592691785264,24063.0
Louisiana,4795921.0,2902538.0,1484363.0,27238.0,77818.0,1824.0,83877.0,218263.0,19.20500348845782,24981.0
Maine,1345396.0,1262026.0,15037.0,7811.0,14590.0,187.0,26298.0,19447.0,13.563915431494996,27655.0
Maryland,6252295.0,3416107.0,1750916.0,15579.0,357616.0,2754.0,175652.0,533671.0,9.726014739303585,36897.0
Massachusetts,7131919.0,5334859.0,478947.0,13189.0,400675.0,1644.0,194677.0,707928.0,11.168375142754115,36895.0
Michigan,10258408.0,7823875.0,1381388.0,53951.0,268766.0,2083.0,261324.0,467021.0,16.331078278212438,26607.0
Minnesota,5608070.0,4594367.0,299176.0,56561.0,240786.0,1970.0,144226.0,270984.0,11.010208018901784,32157.0
Mississippi,3048677.0,1768174.0,1116457.0,12896.0,28900.0,409.0,35334.0,86507.0,21.80479712564686,21057.0
Missouri,6210889.0,4995527.0,697022.0,24951.0,106537.0,6161.0,147645.0,233046.0,15.151432945912363,26259.0
Montana,1042861.0,904977.0,4757.0,65693.0,7187.0,848.0,25777.0,33622.0,14.840460077323423,26381.0
Nebraska,2019274.0,1647551.0,88195.0,16319.0,38066.0,1280.0,41595.0,186268.0,12.363289138290275,27882.0
Nevada,3323051.0,1929661.0,235721.0,31393.0,214846.0,17942.0,122935.0,770553.0,15.233742437387356,26541.0
New Hampshire,1359069.0,1241313.0,17439.0,2238.0,31364.0,228.0,24346.0,42141.0,8.596882195376685,34362.0
New Jersey,10024206.0,6083940.0,1202300.0,18335.0,804989.0,2808.0,223826.0,1688008.0,10.610997041579271,36582.0
New Mexico,2844239.0,1524911.0,43738.0,190528.0,28761.0,1276.0,68053.0,986972.0,20.601578510227593,24012.0
New York,21607067.0,12704637.0,3070392.0,74793.0,1570223.0,6485.0,560879.0,3619658.0,15.279400263526364,33236.0
North Carolina,10422931.0,6839831.0,2115338.0,116143.0,244076.0,6244.0,231391.0,869908.0,16.936603363238195,25920.0
North Dakota,736350.0,640208.0,11872.0,38286.0,8979.0,304.0,16132.0,20569.0,11.052325259131978,32035.0
Ohio,11869431.0,9538328.0,1412045.0,21646.0,216170.0,3060.0,287212.0,390970.0,15.34070083242218,26953.0
Oklahoma,4122307.0,2813794.0,278571.0,279276.0,74570.0,4701.0,299936.0,371459.0,16.21003326724217,25032.0
Oregon,4292212.0,3352941.0,72837.0,46258.0,156695.0,15042.0,162793.0,485646.0,16.16931519409997,27684.0
Pennsylvania,13342027.0,10430142.0,1403143.0,23641.0,392595.0,4279.0,272689.0,815538.0,13.040896012139386,29291.0
Rhode Island,1136364.0,854859.0,68243.0,5106.0,34213.0,373.0,29782.0,143788.0,13.687799016951372,31118.0
South Carolina,4958344.0,3210708.0,1315058.0,14966.0,66982.0,2588.0,93950.0,254092.0,17.391685658166402,24604.0
South Dakota,863164.0,716691.0,13133.0,72619.0,10152.0,332.0,22323.0,27914.0,13.627652130599271,26747.0
Tennessee,6722966.0,5059894.0,1091070.0,17802.0,102027.0,3323.0,128760.0,320090.0,17.194772305744262,25227.0
Texas,35149115.0,19874610.0,3152917.0,126493.0,1124011.0,21655.0,653062.0,10196367.0,16.852617095979465,26999.0
Utah,3163328.0,2544735.0,31909.0,31824.0,64102.0,26147.0,74755.0,389856.0,12.110062103500782,24686.0
Vermont,635293.0,594443.0,6949.0,2018.0,8774.0,249.0,12169.0,10691.0,11.048924041340305,29894.0
Virginia,8782662.0,5695147.0,1589345.0,22570.0,492973.0,5304.0,268167.0,709156.0,11.164627699194465,34152.0
Washington,7556520.0,5434177.0,253224.0,93266.0,535501.0,44159.0,360705.0,835488.0,13.005750226470282,31762.0
West Virginia,1872262.0,1732235.0,61367.0,2953.0,13485.0,625.0,36189.0,25408.0,17.466809259919412,23450.0
Wisconsin,6010618.0,4967124.0,360792.0,50449.0,143732.0,1233.0,122730.0,364558.0,12.61465065933,28340.0
Wyoming,623492.0,527763.0,6142.0,12658.0,5319.0,423.0,15489.0,55698.0,11.212239877587423,29803.0
Puerto Rico,6698918.0,2495997.0,301519.0,11775.0,10159.0,129.0,332051.0,3547288.0,45.104216408652576,11394.0
